header	text	verdict	link
Прошла несколько бесплатных уроков в этой школе, но курс покупать не стала, расскажу почему, а так же сравню с другой школой, где я прошла полный курс обучения на специалиста в области IT		1	https://irecommend.ru/content/proshla-neskolko-besplatnykh-urokov-v-etoi-shkole-no-kurs-pokupat-ne-stala-rasskazhu-pochemu
Бесполезные в практическом плане курсы. Расскажу о более годовом опыте учебы на Skillbox.	Так вышло, что на работе я и чтец, и жнец, и на дуде игрец) И в силу своей работы прохожу (или имею доступ и кратенько просматриваю) определенные курсы. О платформе Skillbox слышали очень давно и очень много, но предпочтение отдавали другим площадкам. Но какое-то время назад закупились блоком курсов, предварительно изучив их программу. Расскажу о платформе, и более подробно приведу пример (скрины же надо с чего-то брать) онлайн-курса “Контекстная реклама с нуля”. А именно отзыв о том, как специалист по контекстной рекламе проходил курс по контекстной рекламе (просто ради сертификата для начальства). ✅ На Скилбоксе сама суть прохождения курсов не особо отличается от других платформ. Выбираете самостоятельно необходимый курс, либо запрашиваете консультацию менеджера по подбору курса. Оплачиваете его. После оплаты курс появляется в личном кабинете, к вам прикрепляется куратор, который будет помогать в процессе обучения и проверять домашнее задание. Также дается ссылка на телеграм-канал курса. Там такие же учащиеся общаются по учебным моментам. Там же можно получить консультацию специалиста, закрепленного к чату. Обучение линейное. Т.е. все блоки изучаются последовательно. Смотрите видеоуроки. После просмотра всех видео в конце каждого блока есть практическое задание. Задание выполняется самостоятельно на основе того, что было изучено ранее. Результат отправляется на проверку куратору (чат с куратором на самой платформе, никаких электронных почт и меседжеров). После приянтия ДЗ, открывается следующий блок с уроками. После прохождения всех блоков выполняется большая итоговая работа. Далее она проверяется уже сторонник куратором. Последний этап - защита итоговой работы перед комиссией (возможен онлайн и онлайн формат). Защитились - получили диплом. Доступ к материалам курса сохраняется на определенный срок. Обычно это сохранение на 3, 6 месяцев, 1 и 3 года, а также бессрочный. ✅ Обычно покупка курса много времени не занимает, здесь всё зависит от менеджера, который её оформляет. Но однажды у меня был странный случай: как я покупала курс по контекстной рекламе. Так как одна из моих областей деятельности - контекстная реклама, выбрала курс я быстро и самостоятельно, т.е. никакой консультации сторонней мне не требовалось. Оплата была безналичная по юридическому лицу, поэтому для её проведения мне понадобился счёт. И вот тут началось взаимодействие с продажным отделом Skillbox. Все мои слова о том, что я выбрала себе курс, я знаю, что будет в нем и нет, другой мне не нужен - пропускались мимо ушей. Менеджеры настоятельно отрабатывали свою зарплату и около недели пытались меня консультировать и объяснять суть курса. В общем, я очень выпрашивала продать мне определенный курс. После более-менее удачной борьбы за оплату курса, он появился в личном кабинете. У меня уже были курсы по SMM, Photoshop, аналитике и т.д. Сразу скажу негативную вещь. При покупке курса по КР в программе был отдельный блок по рекламе в Яндекс и отдельный по Google. После определенный событий Google благополучно запретил рекламироваться компаниям РФ и блок по поисковику модераторы удалили. И сделали они это без предупреждения. Так как я умею работать с рекламой в Google, для меня это не стало проблемой. Но для тех, кто нулевой в данной теме - это неприемлемо. Тем более, если обучающийся будет жить, например, в РБ (как и я), у нас никаких запретов в стране нет. Примерно через месяцев 8 блок добавили обратно, но вынесли его отдельно за курс, без оповещения и предупреждения. Т.е. если бы я ушла с платформы, я бы и не узнала, что уроки по Гуглу вернулись. Интерфейс интуитивно понятный, приятный глазу. Недосмотренные видеоуроки отмечаются паузой и воспроизводятся на остановленном моменте. Просмотренные видео и принятые практические задания также отмечаются галочкой. В общем, не потеряешься. Под каждым видео прикреплены материалы в формате PDF и презентаций. Т.е. предполагается, что если вам неудобно слушать курс, можете скачать ПДФ файл и прочитать всё, что говорил спикер. НО! Иногда такие файлы оказываются пустыми. Т.е. файл есть, а в нём только приветствие и завершающий экран. Недочет это или специально, выяснять не стала. ✅ Повторюсь, рассказываю на основе курса по контекстной рекламе, но также учитываю и прошлый опыт учебы на скилбоксе. Поскольку в КР рекламу работаю давно, очень удивилась подходу к тому, как преподносят материал. Курс называется “Контекстная реклама с нуля”. Но по сути С НУЛЯ там учат нажимать кнопки. Т.е. очень много воды, очень много бесполезной информации и объяснений действий, которые делаются интуитивно. О них можно вкратце рассказать и не уделять этому целый видеоурок. Некоторые момент не объясняются совсем. Т.е. о них говорится, но говорится это вскользь. Есть моменты, о которых не говорят вообще. Например есть огромный урок на минут 20 по построению таблицы отчета с построением массива. Но ни слова не было указано, что нужно этот массив включить, чтобы формулы в ячейках начали работать) Поэтому не стоит ждать, что здесь расскажут секреты, фишки и особенности специальности. В остальных курсах тоже самое: информация водная, вам дадут болванку, продуктивно работать на результат по которой вы не сможете. В любом случае, нужно будет учиться дальше (без этого совсем никак). Единственный толковый курс по Photoshop PRO. Но в нём сама специфика курса подразумевает объяснение техник работы (воды особо не нальёшь). Очень большой минус - почему-то Скилбокс уделяет мало внимания ораторским способностям своих спикеров. Как специалисты они может быть и прекрасные, но вот как учителя.... Это мрак. Очень многие нудные, зацикленные на одной точке, читающие по бумажке. Приходилось иногда несколько аз пересматривать моменты, так как буквально засыпаешь или выпадаешь из реальности. ✅ В конце каждого блока есть домашнее задание, которое нужно выполнить самостоятельно и отправить на проверку куратору в чат на платформе. Если куратор принял работу - открывается доступ к следующей теме. Не принял - исправляете ошибки, заново отправляете. Из-за этого время на изучение всего курса здорово растягивалось. А поскольку я работаю в этой сфере и курс проходила только ради бумажного диплома, то курс, который я могла пройти за 1 месяц растянулся у меня на полгода, а то и больше. В предыдущих курсах и в принципе по разговору с коллегами, которые тоже проходят различные курсы на платформе можно сделать вывод, что все кураторы разные: есть вовлеченные, которые в любое время дня и ночи ответит на вопрос, есть такие, которые раз в неделю заходят на платформу. ✅ После защиты итоговый работы со сторонним куратором можно идти на защиту диплома перед комиссией (не во всех курсах нужно дополнительно защищаться), предварительно сделав презентацию по материалу. Существует офлайн и онлайн формата. В связи с тем, что бушевал Коронавирус, офлайн формат был временно приостановлен, но в последнее время начали опять его запускать. Расскажу про онлайн формат. Вам даётся ссылка на телеграм-канал, в котором можно записать на эту самую защиту. Т.е. девушка администратор собирает 3-4 человека, которые прошли курс, назначает онлайн-конференцию в зуме или скайпе (как удобно будет) и пойдёте на защиту. Защита одного студента длится около 10 минут. Кратко рассказываете о себе, о своём проекте по презентации, отвечаете на несколько вопросов и всё, вы молодец. В целом, всё проходит в дружелюбной атмосфере, никто никого не заваливает каверзными вопросами. Шутки-прибаутки. НО, у меня была довольна неприятная история, которая ещё больше затянула моё обучение. Я прошла курс, сдала итоговый проект, оставила заявку на защиту диплома. И меня морозили 3 недели с обещаниями подбора группы. После очередного моего гневного обращения мне сказали, что больше по курсу защита не проводится. Достаточно сдать куратору итоговый проект. Только об этом мне сказать забыли. И после этого я еще месяца два ждала, когда же мне пришлют электронный (!!!) вариант диплома на почту. ✅ Курсы подходят только общего развития. Не очень компетентная консультация по подбору курса. Видимо работает метод “что стоит в плане продаж, то и толкаем”. Интерфейс приятный, понятный. У каждого курса есть телеграм-канал для общения со студентами и одним куратором. Проверка домашних заданий и общение с куратором будет сильно зависеть от него самого, от его заинтересованности в этом. Информация в курсах поверхностная, много упущений и недочетов. Предоставляемые материалы (не видео) абсолютно все пустые. Модераторы могут запросто удалять материалы из курса, менять условия получения диплома и обучения. И потом ещё нужно выпросить электронный вариант этого заработанного диплома. В общем, контора сомнительная, подходит для общего развития. Но покупать масштабные курсы, от которых зависит ваша компетентность, как специалиста, крайне не советую. Ещё и выпрашивать диплом придётся.	0	https://irecommend.ru/content/bespoleznye-v-prakticheskom-plane-kursy-rasskazhu-o-bolee-godovom-opyte-ucheby-na-skillbox
О том, как я в Скиллбоксе училась. Нелепый микс качества и низкопробности. И бесполезная бумажка на выходе. Подробный объективный отзыв	"Привет всем любителям учиться чему-то новому! В этом отзыве пойдет речь о небезызвестной онлайн школе , о которой ходят гуляют неоднозначные мнения. С одной стороны – крупная онлайн школа с множеством направлений. С другой стороны – бесполезная бумажка на выходе и неэффективное обучение... Я немало времени провела на этой платформе. И в этом отзыве расскажу всё, что я о ней думаю. Сразу скажу, будут . Самый что ни на есть объективный анализ онлайн-школы. Итак, начнём. Первое знакомство с платформой скиллбокс для меня состоялось на . Наткнулась я на него случайно. Возможно, была какая-то таргетированная реклама, ведь вопросом разработки курсов я на тот момент активно интересовалась. Интенсив длился три дня. Было три увлекательных вебинара, к последнему из которых нужно было выполнить домашнее задание – создать макет курса. И на последнем занятии преподаватель разбирал в режиме онлайн выполненные работы. Обычно в подобных случаях мне не везёт и мои работы успешно игнорируются. Но в этот раз всё было совсем иначе. Моя работа разбиралась первой! И я получила очень . После этого я даже была готова приобрести курс этого направления. . Однако покупать я курс всё же не решилась на тот момент. Решила отложить обучение на неопределенный срок. Остановила, в первую очередь, цена, и опасение того, что оно того не стоит. Это был не единственный от скиллбокс, в котором я участвовала. Заинтересовал меня однажды и . Тоже были очень интересные и качественные вебинары. Правда я его в силу личных обстоятельств досмотреть не смогла. Но даже та часть, которую успела увидеть, оказалась мне полезна. Вообще, бесплатные интенсивы скиллбокс проводит регулярно – думаю, это один из главных способов привлечения новых клиентов. В этом они молодцы. Думаю, спикеры очень даже неплохо справляются с задачей заинтересовать слушателей тем или иным курсом и зарекомендовать Skillbox как серьезную площадку. Точнее, будут ли ожидания соответствовать действительности при покупке целого курса? Скиллбокс предоставляет курсы . Это и курсы по саморазвитию, и творческие, и IT, и другие узкопрофессиональные. Как отдельные курсы, так и обучение на целые профессии (это, как правило, комплекс курсов + дипломная работа). Я проходила как отдельные курсы, так и обучалась целой профессии. К счастью для меня, обучение моё было за счёт работодателя) Потому что отдавать свои кровные за такое я бы не стала. . Но об этом позже. Итак, расскажу подробнее о моём обучении целой профессии. Комплексный курс – с дипломной работой. Я уже была аналитиком, но тогда ещё в новой для меня сфере HR. Пошла на курс с целью закрепить имеющиеся навыки аналитики и повысить свою осведомленность в HR процессах. Программа курса показалась мне очень обширной, это меня и подкупило. И аналитика во всевозможных hr процессах, и бонусный курс по excel, даже Python и Power BI! "" Итак. - Моё ожидание, что в скиллбоксе круто и интересно преподносят информацию , а также дают дельную обратную связь; - Офигенную программу, в которой мне интересно всё. Чувствую, что она поможет мне стать классным специалистом. В каждом блоке обучения свой спикер и свой набор коротких видео. Но... Есть одно маленькое, но жирное ... Эти записи сделаны сто лет назад и уже потеряли связь с реальной обстановкой дел! Ладно, я чуть преувеличила. Не сто лет. Всего три. Но когда в 2023 году все примеры спикеров связаны с самоизоляцией 2020 года, возникает какое-то неприятное ощущение... Будто онлайн-школа застряла в прошлом и не в курсе того, что ситуация в мире имеет свойство меняться . Ладно-ладно. Допустим, что основная теория не поменялась и всё такое. Но... Мне вот интересно, кто-нибудь из спикеров хоть раз сам пересматривал то, что записывал? Треть преподавателей и правда читала лекции профессионально. Я говорю, в первую очередь, об умении подать материал, о качестве звука и видео, да об экспертности в теме, в конце концов. У меня сложилось впечатление, что в скиллбоксе вообще никак . Где они набирают этих ""экспертов""? Почему не обеспечивают их оборудованием для качественной записи, не монтируют итоговые видео? Чтоб не быть пустословной, расскажу подробнее о 1) спикер запинается, ошибается, а потом... решает вернуться на пять минут в прошлое и проговорить весь блок с самого начала! Кусок с ошибкой почему-то не вырезан. В режиме онлайн вебинара это ок. Но когда это запись , которую вы продаете... С этим даже школьник справится. 2) некоторые спикеры говорят так, словно читают лекции между делом во время ужина. после каждого слова. Может, это только я такая нервная, но я не выношу такие звуки) их очень легко обрезать в любой программе монтажа звука. Это несложно и недолго. Я сама такое делала, поэтому знаю, о чем говорю. Но, конечно же, 3) временами казалось, что спикер сам не понимает, о чем вещает. А-ля посредственный препод из вуза на окраине мира – монотонно зачитывает совершенно незначимую информацию. А может, и значимую, сложно понять, когда слова настолько неразборчивы. Единственное, о чём я думала в процессе просмотра большинства видео – то, что я этот материал смогла бы подать и записать гораздо лучше ( ). Спасибо, конечно, скиллбоксу за повышение самооценки и мотивации, но денег, потраченных работодателем, мне жаль. , это да. Там и звук, и видео, и подача – на высшем уровне. И именно такие записи скиллбокс использует, когда предоставляет бесплатный доступ к отрывкам из курсов по какой-нибудь акции) В каждом модуле были домашние задания. В рамках специфики профессии – в основном, упражнения в Экселе. Сложностей с заданиями не возникало, и на все мои сообщения куратор отвечала, что всё выполнено хорошо. Наверное, если бы были сложности, то взаимодействие с куратором оказалось бы более эффективным, чем просто получение ""хорошей оценки"". А еще создан специальный чат в телеграме для курса. Судя по всему, создан он был тогда же, когда и курс. И ученики добавляются туда накопительным итогом. Куратор в чате всегда оперативно отвечает на вопросы, как организационные, так и по теме самих курсов. Тут никаких претензий нет, . Что самое странное, больше всего в обучении мне понравились бонусные модули – то есть курсы, не входящие в основную программу, но предоставленные бесплатно (без обратной связи от кураторов). Это был курс по Экселю (Excel с нуля до pro) и по визуализации данных (один модуль из курса ""мастер презентации""). Экселем я и без скиллбокса неплохо владела, но комплексный курс помог структурировать все знания в одну систему. Там спикер очень грамотный. Правда я не уверена, что совсем новички (кто реально с нуля) смогут пройти этот курс до конца без сложностей. В качестве итоговой работы курса ""HR аналитик с нуля"" предлагалось выполнить один из трёх кейсов. Грубо говоря, провести аналитику hr процессов выдуманной компании (или можно взять свои данные) и сделать определенные выводы. Сделала без проблем, куратор ответил стандартное ""всё хорошо"" и разрешил выйти на защиту. Процедура защиты проектов оказалась максимально странной. Нужно было ""записаться"", потом добавиться в отдельный чат с защитами и . Куратор чата предлагает даты (не всегда удобные для работающих людей), а тебе нужно успеть согласиться, чтобы кто-то другой не занял место. неизвестно сколько. У меня ожидание было чуть меньше месяца. В один день защищались 3 человека по смежным курсам. Был ""эксперт"", который всё слушал и задавал вопросы. Всё это действо происходило в google meet, и качество связи было, мягко говоря, так себе. Кто-то постоянно что-то не слышал. Как оказалось после, . Сертификат о прохождении курса был выслан на почту ещё до начала защиты... Если это можно назвать сертификатом: просто бумажка, на которую кто угодно может прифотошопить своё имя) ни печати, ни информации об итоговом проекте и защите, ничего... Приложу его сюда, замазав свое имя и номер/дату: По словам самого скиллбокса, защита нужна для того, чтобы научиться держать себя на публике и проводить презентации. Однако эти навыки люди получают ещё в школе и университете, поэтому мне непонятно, кто является истинной целевой аудиторией скиллбокса. Skillbox - действительно обширная площадка для обучения. Они проводят множество акций, бесплатных интенсивов и вебинаров, а также продают курсы за огромные деньги... которые того не стоят. Качество полноценного обучения профессии весьма сомнительно. Вероятность, что уроки будут качественными и доступными - очень мала. В целом, у меня сложилось такое впечатление, что половила скиллбокса работает , а половина - . Там есть и классные эксперты, и ответственные кураторы... и в то же время абсолютно отвратительный подход к качеству некоторых уроков, сомнительная методология и подбор некомпетентных спикеров. И абсолютно бессмысленная бумажка на выходе. Эти минусы оставляют после обучения неприятный осадок. После которого учиться на этой площадке чему-то еще не очень-то и хочется. Какова вероятность, что эксперты будут компетентными, а видеоуроки - качественными и актуальными? А вот никакой. Она, конечно, существует, но это не сильно повышает степень доверия. На этом свой отзыв об онлайн-школе Skillbox я завершаю. Надеюсь, мое мнение покажется кому-то интересным и полезным. Всем хорошего дня!"	0	https://irecommend.ru/content/o-tom-kak-ya-v-skillbokse-uchilas-nelepyi-miks-kachestva-i-nizkoprobnosti-i-bespoleznaya-bum
Художник компьютерной графики		1	https://irecommend.ru/content/khudozhnik-kompyuternoi-grafiki-0
Огромное спасибо	Я считаю, что платформа Skillbox, одна из лучших образовательных платформ. Очень благодарен Skillbox за то , что у меня есть возможность получить профессию и делать это из дома. Очень отзывчивые работники, всегда готовые пойти на встречу и помочь в любой ситуации. Я столкнулся с проблемой с которой наверное каждый боится столкнуться любой из вас, это выбор курса по которому я буду обучаться, ведь не маленькие деньги это все стоит.Выбрал, и... прогадал. Мой компьютер не силен для этого курса и я расстроился, что не смогу обучаться и потратил деньги впустую, но даже тут мне пошли на встречу и дали возможность заменить курс. Теперь я спокойно занимаюсь. Материал уроков подобран просто супер!Преподаватели классно объясняют. А самое главное если что-то не понял ты всегда можешь написать куратору и он тебе все объяснит. Советую всем эту платформу! Огромное спасибо, Skillbox!	1	https://irecommend.ru/content/ogromnoe-spasibo-42
Отличный курс, чтобы включиться в администрирование ОС Linux, или просто, чтобы понимать, как он работает.	Всем привет! Я работаю разработчиком ETL-процессов в банке. Проходил курс Администрирование ОС Linux с января по июнь 2023 частично в рабочее, а частично в свободное время. Что понравилось. Были важные базовые вещи для понимания структуры Linux и взаимодействия с ним. Также были сложные и интересные задания с установкой ОС в Virtual Box и на флешку. Курс понравился по содержанию. Он довольно глубоко погружает в специфику заданий. Но конечно всех тонкостей за 100 часов не освоить. Было много практики. Для работы, когда все программы работают на Linux-сервере - отлично. Был классный чатик с людьми, которые проходили этот курс и подсказывали, в случае проблем с настройкой и в решении проблем. Что не понравилось. Курс состоит из видео, дополнительных материалов и заданий к ним. По сравнению с Яндексом, не хватало интерактива. Также неудобно проходить курс с телефона, хотя при первом просмотре видео его можно было смотреть в транспорте с телефона.	1	https://irecommend.ru/content/otlichnyi-kurs-chtoby-vklyuchitsya-v-administrirovanie-os-linux-ili-prosto-chtoby-ponimat-ka
Понравилось отсутствие строгого расписания!	В этом отзыве я хотел бы поделиться своими мыслями по профессии Графический дизайнер и почему я выбрал именно skillbox, когда в мире есть куча других университетов. Я не выбрал самообразование, потому что считаю: чтобы стать профессионалом в любом деле, нужен наставник. Необходима и точная инструкция по тому, что тебе необходимо знать как дизайнеру, куда развиваться и на что обращать внимание в своей работе. Тогда я еще сомневался в своих силах, поэтому наставничество пришлось очень кстати. В skillboxe мне понравилось отсутствие строгого расписания, что дает тебе высокий уровень ответственности - а это важно для мотивации. Человек, который заинтересован в том чтобы сделать из тебя настоящего профессионала, всегда будет погружаться в общение с тобой и указывать на ошибки, не думая “задену я студента или нет”. И еще здесь все уроки нацелены на практику и самосовершенствование - в дизайне это куда важнее сухой теории.	1	https://irecommend.ru/content/ponravilos-otsutstvie-strogogo-raspisaniya
Skillbox - самое удачное решение для профессионального роста	Дистанционное обучение в skillbox дало возможность не отрываясь от основной работы получить новые знания и навыки, которые помогли мне освоить новую профессию. Сейчас, когда на рынке происходят глобальные изменения, обладать разными смежными профессиями просто необходимо. Именно skillbox подходит очень гибко к обучению. Курс разбит на модули, которые можно пересматривать несколько раз, информация обновляется, упор делается на практические задания, куратор их проверяет, даёт обратную связь, есть чат по профессии, в любой момент можно задать вопрос и получить ответ или совет. Однозначно рекомендую каждому, кто хочет усовершенствоваться в своей профессии или получить новую. Хорошая поддержка менеджеров оффлайн, оплата в длительную рассрочку, так что финансово может себе позволить любой желающий. Обязательно ещё попробую новый курс, как будет необходимость.	1	https://irecommend.ru/content/skillbox-samoe-udachnoe-reshenie-dlya-professionalnogo-rosta
все супер , по цене и по качеству обучения	Изучение Python дается не очень легко, несмотря на то, что в IT я уже давно и глубоко. Но все же я узнал много новых технологий, научился командной разработке, и сейчас уже могу писать вполне чистый код. Есть к чему расти , и еще куча материалов для изучения. Буду стараться дальше, че)	1	https://irecommend.ru/content/vse-super-po-tsene-i-po-kachestvu-obucheniya
обучающая платформа то что надо - skillbox.ru	С недавнего времени обучаюсь дистанционно на площадке skillbox ru по професии web разработчик. Хочу отметить что данный вид обучения хорошая идея, в частности на платформе skillbox. Я очень долго и тщательно выбирал себе платформу, из многих, остановился на данной. Здесь очень удобный график. У меня очень хорошие кураторы, которые занимаются с тобой индивидуально, что является очень мощным плюсом, это то на кого можно опереться в трудную минуту когда необходимо, не теряя времени на поиски ответа на просторах интернета. Хотя поиски ответов в интернете тоже немало важно. Однако, у меня кураторы очень опытные люди, работают в популярных больших компаниях. Лекторы на видео роликах аналогично, люди с большим опытом, к тому же очень интересно объясняют. Для новичка это находка. Менеджеры платформы охотно работают индивидуально, входят в положение, пытаются решить вопросы. подстроится под тебя. Всегда сделают скидку, найдут дазейки.Молодцы. Я считаю мне повезло. Месяц учусь и я познал уже достаточно что бы начать работать. В общем рекомендую, я рад что выбрал именно skillbox несомненно 5 звезд	1	https://irecommend.ru/content/obuchayushchaya-platforma-chto-nado-skillboxru
Хорошая школа	Добрый день! Обучался в данной школе на Python разработчика, вполне подходит для начинающих, задания по курсу довольно широкие, много практических заданий. Отличные кураторы, отвечают оперативно, дают множество дополнительной информации для саморазвития. Сейчас обучаюсь на продакт менеджера. Пока ничего не могу сказать, только начал, но информации очень много. Есть множество дополнительных курсов, таких как психология и ux дизайн. Вопроса трудоустройства не касался, так как нет необходимости. Прохожу курсы для повышения квалификации в аспектах связанных с моим собственным бизнесом.	1	https://irecommend.ru/content/khoroshaya-shkola-36
Отличный курс для изучения языка SQL для новичков	Для работы необходимо было повысить свой уровень знания языка SQL, и курс Skillbox мне в этом однозначно помог! Да, многое я уже знал, но так же была и значительная часть того, что я услышал в первые и стал использовать в работе после прохождения курса. Жаль, что на первых этапах самостоятельного изучения написания запросов на языке SQL, я не встретил данный курс, а искал информацию кусками из разных источников. Для новичков это отличное начало, и для уже имеющих представление, будет чем повысить свой уровень. Отлично, что всегда можно зайти на свою страницу и повторить то, что подзабыл. Единственный минус что я для себя отметил, что была лишняя информация синтаксиса написания запросов для разных программ написания, но это скорее специфика языка, который применяется в разных приложениях и авторы курса просто старались это учесть.	1	https://irecommend.ru/content/otlichnyi-kurs-dlya-izucheniya-yazyka-sql-dlya-novichkov
