header	text	verdict	link
Большой выбор разных курсов	"В конце 2021 года задумалась об освоении сферы графического дизайна. И на данный момент очень актуальны онлайн курсы, т. к они без проблем позволяют совмещать работу и другие виды деятельности вместе с обучением. Среди всех вариантов, мой выбор пал на онлайн-университет Нетологию (причины написала в плюсах, в основном решали именно они) Курсы, которые предлагает Нетология, а так же куча направлений к ним: В каждом блоке есть домашние задания с проверкой, которые помогают освоить определенную программу и теорию, всегда есть возможность продлить срок выполнения домашнего задания Так же хочу отметить наличие вебинаров, во время которых можно задавать интересующие вопросы преподавателю Каждый блок заканчивается дипломной работой, которая помогает оформить свой кейс к дальнейшей работе Из минусов, могу отметить то, что сейчас в интернете можно самостоятельно учиться и не платить за это. Но тут уже кому как удобнее) Из того, что обещает Нетология: 1. Структурированный качественный материал 2. Обратную связь от крутых экспертов 3. Документ о прохождении курса 4. Собственное портфолио А так же: ""Центр развития карьеры поможет с трудоустройством: вы составите резюме, подготовитесь к собеседованию и сможете найти работу по душе"" Но если с первыми четырьмя пунктами я +- соглашусь, то на счет последнего пока сказать ничего не могу) Возможно когда закончу обучение - дополню отзыв Лично для меня огромным плюсом стало наличие бесплатных мини курсов, я думаю это полезно для тех, кто хочет попробовать, но боится зря потратить деньги Бесплатных курсов довольно много"	1	https://irecommend.ru/content/bolshoi-vybor-raznykh-kursov
Полезное и структурное обучение. Приятное и комфортное общение.	"Привет! Я выучилась на дизайнера в государственном вузе и работаю в этой сфере уже третий год. Мне повезло любить своё дело, поэтому процесс моей работы сопровождается учёбой и различными курсами, чтобы активно следить за трендами и развиваться. В какой-то момент я захотела пойти в магистратуру, чтобы с головой уйти в учебный процесс. Я искала программы, которые подойдут под мои нужды: где-то программа для меня была лёгкой и неактуальной, где-то профиль изучения был слишком узкий. Я гуглила и читала про разные онлайн-школы и остановилась на Нетологии. Для меня решающими факторами стали: - длина курса 22 месяца (как я и хотела: подольше) - возможность оплачивать курс в рассрочку (получается 6-7 тысяч рублей в месяц) - программа (в ней были как абсолютно новые блоки для меня, как и те, в которых мне хотелось расширить знания) Потом созвонились с менеджером.. И это тоже хорошая часть истории, потому что никто не давит, не напрягает продажами. Общение комфортное Я выбрала направление ""UX/UI-дизайнер: расширенный курс"", который длится 22 месяца, из которых уже проучилась половину. Начну с общего результата: я сразу начала применять знания в своей работе, что ускорило время выполнения задач и улучшило мои проекты. На самом деле, я считаю это основной и главной своей целью обучения! Забыла сказать, что до начала учёбы я прошла у ребят бесплатный курс по вёрстке сайта. У них вообще есть возможность поучиться for free и посмотреть платформу, уроки все у вас сохранятся в личном кабинете (как я понимаю навсегда), там тоже проходят вебинары с преподавателем, где он отвечает на вопросы студентов (1 или 2 раза). Но так как это история бесплатная, надо понимать контингент в чате потока (иногда встречаются не самые адекватные, но как всегда можно просто поставить на mute и забыть про него). ПОЛЕЗНОСТЬ ИНФО У меня хорошая база из университета, но ее тоже нужно обновлять в памяти. Много новых фишек узнала, которые помогают чувствовать себя уверенно в практике. Видео много, они разделены на логические блоки, что позволяет легко ориентироваться с материале, если необходимо вернуться и найти конкретную информацию. ПРЕПОДАВАТЕЛИ Очень внимательные. Часто оставляют свои контакты, чтобы можно было спросить напрямую вне проверки ДЗ. Они помогут решить любой вопрос, который у вас возникнет. Если не знает один, он перенаправит к другому ваш вопрос и вернется с ответом. Комментарии оставляют либо в письме, либо, что очень радовало и мотивировало, записывали подробные видео-разборы на мои решения ДЗ. Такой подход не оставляет возможности забить на учебу Если вопрос технической поддержке, то тоже всегда доведут решение вопроса до логического конца, чтобы все были счастливы. Видео-уроки записаны замечательно. Красивые свет, речь, картинка. Я смотрю на скорости 1,5 - 1,75. Но это точно не похоже на видео на ютубе, которые я обычно искала, чтобы разобраться с каким-то вопросом. Когда сравниваешь, то понимаешь, какая работа была проделана для записи занятий. ПРОВЕРКА ДЗ И ДИПЛОМНЫХ РАБОТ ПО БЛОКАМ Могут проверить сразу или пару дней. Вероятно, по загрузке. Никаких проблем тоже не возникало. Кто-то спрашивал в чате, почему долго проверяют, но я радовалась если проверка висела пару дней, тк можно передохнуть от учёбы и с чистой совестью ожидать результата. Сначала кажется, что 22 месяца - это долго, а вы бы прошли эту программу и за полгода. Возможно, если нет основной работы. Но я почти не забивала на учёбу и все равно из-за изучения теории, дополнительных материалов (их всегда оставляют в каждой теме), выполнения ДЗ, доработок его с комментариями преподов почти всё время была с горящими дедлайнами. Так что вообще рассчитано время на курс очень корректно! Просто надо заняться тайм менеджментом. С этим, кстати, тоже помогут. В начале курса есть всякие лекции про это: как легко и продуктивно учиться. ЛИЧНЫЙ КАБИНЕТ Всё удобно. Было такое, что у меня пропал курс из ЛК. Обратилась в техподдержку. Оказалось, что были проблемы с зачислением денег на счёт, поэтому курс закрылся автоматически. Сразу помогли всё это уладить. Доступ открыли, не дожидаясь прихода (тк чек у меня был), чтобы я не нервничала и могла продолжить обучение спокойно. ЭКСПЕРТЫ Очень еще нравится, что преподаватели - это действующие дизайнеры в компаниях, которые я потом встречаю в работе. Или недавно преподаватель порекомендовал подписаться на его тг-канал про дизайн, а я обнаружила, что давно его читаю. Вот такая тусовка там. Обучением довольна и жду теперь новый блок по программе! Платформу советую и всем удачи в приобретении новых знаний :3"	1	https://irecommend.ru/content/poleznoe-i-strukturnoe-obuchenie-priyatnoe-i-komfortnoe-obshchenie
Как стать специалистом? Выбираем способ повышения профессиональной квалификации	"В наше время называться специалистом достаточно легко: сделал 100 кадров - ты фотограф, написал заметку у себя на стене - ты блогер, сделал картинку в canva - ты дизайнер. Кому нужны эти высшие образования и курсы повышения квалификации? Но каждый выбирает свой путь. Сегодня расскажу немного о своём. С детства я росла эрудированным ребёнком. Первая таблица, которую я выучила ещё до школы - двоичная система счисления, первые шаги в познании компьютера - 90е годы, когда даже графики как таковой ещё не было, а кто-то может быть помнит, как игры запускались через записи на бобинах, лучшие знания по компьютеру во всём классе - у меня (весь год потом работала техподдержкой у препода по информатике), первый сайт на html (тогда ещё на narod.ri) в 13 лет, потом CSS, немного php, JavaScript, чуточку MySQL, Linux... Казалось бы, программист зарождается, но нет. В итоге я выбрала диджитал дизайн, а всё что знала, безнадёжно устарело с годами. Единственное впечатление, которое осталось, это ""о, боже, там всё сложно!"" Поэтому спустя годы я даже не думала идти обратно в техническую часть. Но потом... Потом пришлось менять направление работы. Я проработала в сфере маркетинга и рекламы 4 года, пошла на высшее образование на коммуникативного дизайнера, поняла как это долго, скучно и устарело в вузе, что там хорошо дают базу, но современные актуальные знания часто под вопросом. Работала в общей сложности 7,5 лет в области искусства и творчества. Затем я выбрала сферу обучения и узнала, насколько большая нехватка специалистов с техническими знаниями там. Как же много людей пробуют создавать свои курсы, начинать свои школы и даже не знают, как это всё организовать технически! Было принято решение подтянуть знания по тех части чтобы быть спецом на все руки. Для этого есть несколько способов: Мой выбор строился так: Я выбрала последнее, т к. этот способ подошел по нескольким параметрам: Также для меня были важны: профессионализм преподавателей (т.е. они должны быть реальными, прожжеными спецами, практиками, а не теми, кто пару раз настроил сервисы), хорошая репутация обучающего центра, возможность возврата налогового вычета, диплом гособразца о повышении квалификации, цена. По этим критериям отсеялись Geekbrains, Skillbox, Яндекс Практикум, и ещё несколько компаний, которые на слуху. О содружестве Нетологии и EdMarket я узнала от знакомой, которая присматривала себе курс методиста. Просмотрев комплекс направлений подготовки в EdMarket я поняла, что могу начать с того, что мне ближе и далее развиваться на базе их обучения в любую сторону. Супер! Цена обучения была не самой низкой из всех предложений, но меня она устраивала. И вот я уже собралась заказывать курс, как произошли жизненные перипетии и оплатить курс я не могла. Но отступать я не собиралась! Тем более, что была возможность взять рассрочку. Я взяла на год от Тинькофф. Погасила её спустя 3 месяца из-за чего получилась почти что скидочка на обучение. Прекрасно! Я выбрала направление ""Технический администратор онлайн школы"". Сам курс построен очень логично и понятно. Модульные тематические блоки, уроки внутри модуля, уроки состоят из записей или вебинаров, метод материала, доп материалов, практики, которую потом проверяет куратор и дружелюбно подсказывает правки, нюансы настроек. Особенно понравилось то, что за всё время обучения я прибегла к Гуглу, пожалуй, раза 3 и то только потому, что хотелось выполнить задание получше, в соответствии со своей задумкой. Потому что преподаватели всё разжевывают, не забывают назвать даже малюсенькие ползунки, которые надо нажать, чтоб всё заработало. Вплоть до того, куда надо навести мышку и какой вид должен приобрести указатель. Это оценили те, кто пришли обучаться с нуля. На курсе даются и системные вещи, и технические моменты. Есть уроки, которые не обязательны для сдачи, но как по мне очень круто их пройти, чтобы расширить свои навыки. Мы изучали и построение обучения на базе бесплатных средств, и недорогих, и, конечно, с использованием кита в индустрии - GetCourse, мы делали лендинги, ботов, группы, я также использовала свои супер-силы – я дизайнер и рекламщик, поэтому использовала это также. Мне и самой нравилось то, что получалось 👍😉 Группа общается в телеграм чате и на созвонах. В нём также постоянно дежурит куратор. Флюиды любви и восхищения моему куратору, которая помогла решить все орг вопросы! Например, я иногда не сдавала во время дз. Просто не успевала с работой. В системе есть возможность запросить позднюю сдачу, сдать и дождаться ответа преподавателя. Не всегда проверяли быстро у меня, т.к. я порой выпадала на пару недель, а потом нагоняла группу. Но было достаточно написать куратору и, вуаля, всё решалось в течение дня. Главное понимание по окончании – теперь быть техническим админом не так сложно, как я помню по своему жизненному опыту. Теперь все интерфейсы сервисов и программ значительно более friendly, более детальные в настройке. Говоря прямо, можно разобраться и самому, но зачем? Есть специалисты, которые по доступной цене в комфортном тебе графике сами подберут всё нужное для твоей будущей проф работы и всё это подадут в понятном виде, а если и возникнут единичные вопросы, то они быстро и понятно будут отвечены. Ещё в процессе обучения мы проходили практику - админили вебинары, делали лендинги на практике от центра занятости. Ах, да, центр занятости был очень активным! Вебинары, советы по резюме и прочему. В общем, если вы не знаете не только специальность, но и как найти работу, тут вас научат)) По итогу я довольна обучением в EdMarket и советую пройти его тем, кто выбрали вариант быстрого, узконаправленного обучения в комфортном режиме с командой классных преподавателей!"	1	https://irecommend.ru/content/kak-stat-spetsialistom-vybiraem-sposob-povysheniya-professionalnoi-kvalifikatsii
обманули	В Нетологии я достаточно много курсов прошла, не то , чтобы качество чем-то отличалось, просто по привычке, больше 5и. Потом в личном кабинете появилась надпись о бессрочном промокоде на 50% . Обрадовалась. Купила еще курс. Потом промокод этот стал неактивен. Спросила почему. В поддержке менеджер написала, что я должна была сделать принтскрины, а раз я не запринтскринила, но значит, я наврала и такого промокода они не предоставляли. Бессрочных промокодов у них в принципе нет, а тот действовал месяца два. То есть Нетологии совсем нельзя верить. И если они что-то вам написали, надо ОБЯЗАТЕЛЬНО сделать принтскрин. Никому не советую. Качество обучения ниже среднего, трудоустройства нет, работодатели крайне негативно относятся к обучения в Нетологии, так они ещё и обманывают.	0	https://irecommend.ru/content/obmanuli-72
Рекомендую	Добрый день. Купил в Нетологии курс 1С разработчик в сентябре 2022 года. Общее впечатление от пройденного курса - положительное. Были ситуации , когда хотелось все бросить, было и такое, что хотел писать претензии о качестве подачи материала, но .. После осмысления ситуации все желание писать гневные письма проходило. Для тех, кто считает, что заплатив за курс, через год он станет специалистом , за которым будут бегать работодатели и будут готовы платить большие деньги - эти курсы не для вас, да и не только эти- вообще никакие вам не подойдут. Имейте ввиду, что никто не вложит вам в голову знания. Все придется делать самому, вам только помогут и направят в нужном направлении. Именно для это и существует обучение. Всегда внимательно оценивайте свои способности и знания , приобретенные раннее. Если уверены, что выбранное направление вам подходит и вы сможете тратить практически все свое свободное время для выполнения дом.работ - покупайте курс, а команда Нетологии вам поможет. Не хочу сказать, что в Нетологии все идеально с процессом обучения. Нет , было временами непонимание , почему именно так представлена тема, почему именно такое домашнее задание надо выполнить. Но, вы всегда можете обратиться к куратору, преподавателю, к одногруппникам за помощью и предложением об улучшении курса и процесса обучения. И курс, не поверите, изменят и улучшат. Так что, общее впечатление об обучении в Нетологии положительное. Порекомендую ли кур 1С разработчик - однозначно Да, но с учетом всего выше сказанного. Теперь о результатах обучения: будучи студентом курса, удалось найти работу по специальности. Кстати, сервисом Нетологии помощи в трудоустройстве воспользоваться не удалость. Работу нашел сам. И вот тут я понял, что все, что рассказывали на вебинарах и лекциях - пригодилось. Да , знаний для полноценной трудовой деятельности недостаточно. Приходится учиться , учиться и еще раз учиться. Так и профессия новая, так что, все - нормально. Желаю тем, кто решится купить курс - учиться, закончить и найти работу.	1	https://irecommend.ru/content/rekomenduyu-5323
Пожалуй лучшая образовательная платформа в русскоговорящем сегменте!	В современном мире от твоих профессиональных навыков зависит многое. Поэтому мне постоянно приходится учится и осваивать смежные специальности, что бы оставаться конкурентоспособным. Я продолжительное время занимался самообразованием, записывался на бесплатные вебинары и покупал англоязычные курсы. Все это занимало кучу времени и не приносило удовольствия от процесса. Но все изменилось когда мне приятель посоветовал купить курс в Нетологии. Я купил курс по моушн дизайну и это был совершенно иной опыт онлайн обучения! В общем и целом, я с Нетологией теперь на всегда) Сейчас собираюсь пройти курс по личным финансам и инвестициям (давно хотел разобраться в этом вопросе) А то вроде бы зарабатываешь, а деньги как сквозь пальцы вытекают)) Как говорил один мудрый человек: - Покупайте курсы, обучайтесь и развивайтесь. Оно того стоит! П.с. Я когда первый курс купил, лоханулся немного и заплатил полную стоимость( Только потом я понял как сильно опростоволосился. Почти на все курсы Нетологии можно найти скидки. Есть сайты с кодами, еще у блогеров часто мелькает реклама, ну и на самом сайте Нетологии часто снижают цены. Имейте это в виду, если вдруг решитесь купить курс!	1	https://irecommend.ru/content/pozhalui-luchshaya-obrazovatelnaya-platforma-v-russkogovoryashchem-segmente
Учиться можно!	"Учился на курсе по саунд-дизайну в 2021-2022. Это мой первый опыт обучения в он-лайн формате, поэтому может быть какие-то аспекты являются традиционными, но мне они показались неправильными что-ли. Про сам курс могу сказать только положительное. Материал подобран интересно, практические занятия выстроены так, что ты постоянно работаешь со звуком и пробуешь себя в разных учебных проектов. Преподаватели очень хорошие практики - это плюс для тех кто уже хоть немного в теме. Если совсем с нуля учиться, то будет сложнее, т.к. практик очень хорошо показывает как все работает, но объясняет не очень - не зря на преподавателей отдельно учатся, т.к. подача материала для ученика это отдельное искусство. Организация обучения. Из плюсов: Нетология дает возможность обучения в рассрочку без прослоечных банков, как другие площадки - это для меня было одним из решающих факторов при выборе площадки для обучения (на остальных была возможность только через банк, и предлагали все эти Тиньковы, ОТП, Русские стандарты - короче банки с которыми раз свяжешься потом задолбят тебя звонками с предложениями и т.д., поэтому и не хотел связываться с ними). Для обучения был организован чат, где можно было в любое время задать вопрос координатору, преподавателям и быстро получить ответ, да и просто для общения с одногруппниками. Из недостатоков - презентации к лекциям. Каждый преподаватель делал лекции как ему нравится - единый стандарт не выработан. Плохо это потому, что у одного преподавателя презентация емкая, с текстом, понятная, а у другого пустые картинки, которые без самой лекции вообще не поймешь. И если после обучения захочу обновить/вспомнить какой-то момент, то пустая презентация не поможет, нужно смотреть видео лекцию, а это лишнее время, особенно при простом каком-то вопросе. Ну и вообще хотелось бы собрать все лекции в один файл и это была бы практически единообразная книга - практически настольная библия для начинающих работать в новой сфере, но нет, к сожалению. Второе - преподаватели не всегда знали, что давал предшествующий блок и не редко повторяли материал. С одной стороны повторение - мать учения, с другой стороны - потраченное время можно было заполнить другой, более полезной информацией. Третье - Вещание из дома. Это ну не то, чтобы напрягало, но как-то не ловко было, когда у одного преподавателя собака лаяла, у другого на фоне какие-то кухонные разговоры, ну и плюс внешний вид ""по-домашнему"" ). Такой антураж не создавал впечатления, что я учусь, а ну как-то так... ППР. К счастью это было только у пары преподавателей, в большинстве старались он-лайн трансляцию делать в нормальном формате без посторонних вещей. Ну последнее - но это видимо только на нашем наборе такое случилось - нам лекцию по авторскому праву дали в конце обучения, и вот там нам рассказали как работать с материалом, особенно чужим, юридически правильно. Было бы лучше конечно юридическую информацию узнать в начале и уже с этими знаниями в процессе обучения работать с площадками. Но в целом все отлично! Тем, кто считает, что подобное обучение не нужно, и что всю эту информацию можно найти в сети скажу так - да можно найти, можно самому по крупицам и физ-мат весь выучить, но ты за это и платишь, что группа людей (преподаватели) многие годы все это искала, пробовала и тебе дает саму суть, а ты экономишь огромное количество времени. И Нетология является в этом плане твоим проводником или посредником между преподавателями и тобой."	1	https://irecommend.ru/content/uchitsya-mozhno
Безответственная шарага	"На этот курс я наткнулась случайно. Жаль потраченного времени, но его уже не вернуть. В рамках ознакомления с программированием в 1С сотрудники нетологии решили разработать конфигурацию для учета личных финансов и так завлекать людей на платные образовательные курсы. Для тех, кто совсем не в теме разработка очень сложная, но на их вопросы в чате никто не напрягается отвечать. В целом ответ один: приходите на платный курс и там все узнаете. А если сотрудник Нетологии и отвечает, то на примитивные вопросы, типа, что вижу, то и пою. На более сложные... ну уж нет, это же бесплатный, ""заманушный"" курс, платите ваши денЮжки и получайте знания. То, что люди получат знания... если учесть, что в интернете для новичков полно литературы, на сайтах полно бесплатных обучающих видео... Знания черпать есть откуда. Сомневаюсь, что на курсе (за почти 100 тыс руб) людям будут что-либо объяснять и отвечать на их вопросы. На вопросы там не любят отвечать, а вот игнорировать очень любят. И в чате игнорят вопросы и в телеграмм-канале игнорят. Кстати, в телеграмм-канале на вопросы отвечают те, кто записался ""аспирантом"" нетологии, то есть такие же слушатели бесплатных курсов, немного разобравшиеся в вопросе разработке на платформе 1С."	0	https://irecommend.ru/content/bezotvetstvennaya-sharaga-1
плевать	"Здравствуйте. Выбрала курс в Нетологии системный аналитик с нуля до Мидл. Если вы действительно с нуля вы никогда его не освоите (думаю что действующим системным аналитикам он вообще не нужен). Куча терминологии, которую вы не будет понимать, преподаватеди будут давать свои рекомендации именно на этом языке и плевать что курс с нуля. ДЗ выполните мб с 5-го раза, причем не усвоив ничего. Обучение системе ГИТ попытаются впихнуть в 20 минут. На просьбы помочь в запросе будут отвечать: ""...вот здесь нужно прописать правильно функцию..."". Т.е. какую? и как правильно. В общем много таких вопросов и ответов. Я устала за 4 месяца и умываю руки, никакого продолжения не последует."	0	https://irecommend.ru/content/plevat-0
Деньги не возвращают	"Мой курс длился 5 месяцев, было пройдено 5 недель (решила отказаться от обучения)вернули 10% от стоимости. В начале курса одна ""вода"", а потом выясняется что ты якобы прошел 40% курса, и при этом вернут только 10%, почему покупатель должен оплачивать услугу которую он не получил? Это незаконно. Все построено таким образом что к моменту когда начинается предметное обучение по теме (не вводный курс, который можно посмотреть в интернете) и ты принимаешь решение продолжать или нет, тебе вернут 10 % от курса. Считаю такие действия мошенническими."	0	https://irecommend.ru/content/dengi-ne-vozvrashchayut-9
Настоятельно не рекомендую!	"Стоимость курсов у Нетологии очень большая, обещают золотые горы, а по факту самое настоящее мошенничество. На профессиях, связанных с web-дизайном и ui\ux за деньги дают видео-уроки, которые и так находятся в бесплатном доступе. Домашние задания сформулированы просто чудовищно. В уроке говорят одно, а задание совсем о другом. Недели уходят на то, что бы выяснить, что же все-таки надо делать. Вебинаров практически нет. Общение с преподавателями отсутствует полностью. На вопросы никто не отвечает вообще. Домашние задания Нетология не проверяются неделями, а сейчас уже и месяцами. А те, что проверены спустя 2-3 недели присылают на доработку, хотя ты уже не помнишь, что там надо было и на тебе висит куча новых домашек. После доработки домашки снова никто не проверяет. Если к концу курса домашки сданы, но не проверены или ты в силу того, что тебе сразу все прислали на доработку, не успеваешь их в срок переделать - тебя не допустят до диплома. Итог: проходи все заново. В моей группе есть те, кто учится по 2му кругу из-за непроверенных работ и теперь снова тоже самое. Качество образовательных услуг равно нулю, точнее их и не оказывают вовсе. Видео уроки по всем темам можно найти бесплатно. Домашние задания сформулированы отвратительно и их постоянно приходится переделывать. На вопросы по домашкам никто не отвечает. С преподавателями связаться нельзя. Домашки никто не проверяет. Допуск к диплому получить невозможно. Настоящая ""шарашкина контора"", только деньги гребут. Настоятельно никому не рекомендую Нетологию! Покупать у них курсы можно только если у вас много ненужных денег и хочется потрепать себе как следует нервы."	0	https://irecommend.ru/content/nastoyatelno-ne-rekomenduyu-24
Нетология – РЕКОМЕНДУЮ!	Закончив обучение в Нетологии, я ни разу не пожалела, что выбрала именно эту онлайн-платформу. Потому что, без всякого преувеличения, я была в восторге от тщательного и подробного разъяснения всех учебных тем, без исключения. Тактичный и приятный преподавательский состав. Все видео-лекции и вебинары были построены увлекательно и подавались очень легко. Обратная связь по возникающим вопросам не заставляла себя ждать. Я очень быстро получала чёткие, подробные и конструктивные ответы. Все учебные задания всегда были интересными и необычными. Я очень благодарна Недолгии за знания и умения, которые она мне дала и, если мне предстоит ещё пойти учиться, я выберу только онлайн-платформу НЕТОЛОГИЮ!	1	https://irecommend.ru/content/netologiya-rekomenduyu
"Отличные преподаватели, хорошая атмосфера, интересный подход к обучению, много полезного. Рекомендую прокачать себя как профессионала с ""Нетологией"""	"У меня небольшой опыт приобретения онлайн-курсов. Но из всех, что были ""Нетология"" явно лучшая. Часто бывает покупаешь какой-нибудь недорогой курс, тебе в личный кабинет накидывают каких-то старых, не всегда актуальных, веб-версий и как хочешь, так и учись. В ""Нетологии"" все удобно: хороший интуитивный кабинет, учиться можно хоть со смартфона. Огромный выбор направлений и курсов - выбирай любой! Когда я училась в ""Нетологии"" в 2017 году на курсе ""SMM:продвижение бизнеса в соцсетях"", все занятия проходили онлайн, то есть преподаватель и ученики могли общаться напрямую, можно было задавать вопросы. Все уроки проводились в удобное время. После занятий давались задания, которые необходимо было выполнить до определенного срока. Выставлялись оценки. Наличие выполненных работ давало возможность сдать итоговый тест и написать дипломную работу. Все серьезно. Когда я доучивалась, один из преподавателей сказал, что мы последняя группа, с которой преподаватели занимаются напрямую, дальше все уроки будут вестись в записи. Это прямо большой минус. Не знаю, к чему в итоге пришли, получилось ли полностью перейти к записям урока или же вернулись к режиму общения. Могу сказать, что среди преподавателей много интересных людей, которые занимаются интересной работой и многого добились в своей деятельности. Они делятся своими кейсами и наблюдениями, иногда дают советы. В основном, уроки были полезны, но не все успешные люди обладают даром к преподаванию, поэтому не все лекции были интересны и могли зажечь. Примерно 30 процентов занятий были скучными или неинтересными. 30 процентов просто огонь! Остальные 40 процентов вполне себе удобоваримы, дающие нужную базу. Очень понравилась та практика, что в конце каждого урока преподаватели дают список литературы и интересных статей. То есть можно развиваться до невероятных объемов. Читала немало негативных откликов, что ""Нетология"" ничего не дает своим ученикам. Считаю, что эти слова не обоснованы. Многие люди отдавая деньги, считают, что знания должны сами появиться в голове, при этом не прилагая для этого никаких усилий. Но чтобы чему-то научиться придется пахать: смотреть лекции, попутно гугля, если что-то непонятно, выполнять задания, которые занимают иногда несколько вечеров подряд, читать рекомендуемую литературу. ""Нетология"" - это не курсы для галочки, а полноценная учеба и освоение большого объема информации, без этого ты ничему не научишься! Здесь люди получают знания, которые в дальнейшем можно применить в профессиональной деятельности. Помогли ли мне курсы от ""Нетологии""? Могу сказать твердое ""да"". Я работаю в смежной с SMM сферой, и так или иначе приходится сталкиваться с разного рода задачами, касаемых социальных сетей. Работодатели, просматривая мое резюме обращают внимание на пункт о повышении квалификации в некоторых местах даже наличие строчки о прохождении курсов стало решающим в пользу моей кандидатуры. Здесь главное уметь применять знания! Также отмечу, что SMM - это довольно гибкая область. Социальные сети постоянно меняются, добавляются новые инструменты, что-то отмирает, меняется аудитория, появляются новые платформы. Соответственно знания, полученные мной в 2017 году устарели, но сохранилась база. У меня есть понимание и знания, где я могу добыть нужную мне актуальную информацию: есть подписки на рекомендуемые преподавателями каналы, сайты и СМИ. В общем, так или иначе все было не зря и я благодарна ""Нетологии"" за знания, которые она мне дала. До сих пор, правда не часто, заглядываю на сайт оналайн-университета в поисках интересных бесплатных курсов. Иногда получается найти что-то интересненькое. В общем, если думаете, сомневаетесь, не можете решиться, то мой совет - ничего не бойтесь, с ""Нетологией"" интересно."	1	https://irecommend.ru/content/otlichnye-prepodavateli-khoroshaya-atmosfera-interesnyi-podkhod-k-obucheniyu-mnogo-poleznogo
